#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT    hPa  degC  degC  degC  nmi hPa     ft
26 05 13 18 00 219  7.8  9.4  0.96   7.7   6.5 189 1012.6  24.5  26.3  20.6 99.0 +0.16    MM
26 05 13 17 00 211  5.5  6.8  1.80   6.0   5.1 167 1013.0  25.4  27.4  21.6 99.0 +0.46    MM
26 05 13 16 00 140  7.9 10.7  1.13   6.3   5.3 186 1016.0  20.8  26.3  17.2 99.0 +0.59    MM
26 05 13 15 00 228  6.9  8.3  0.90   7.4   6.3 173 1010.7  23.5  26.8  20.1 99.0 +0.25    MM
26 05 13 14 00 163  4.4  5.7  1.40   6.9   5.9 169 1017.2  23.3  26.5  19.7 99.0 -0.17    MM
26 05 13 13 00 186  4.3  4.6  0.67   6.6   5.6 126 1012.4  24.8  27.1  21.6 99.0 -0.11    MM
26 05 13 12 00 207  3.1  3.4  0.91   7.3   6.2 166 1012.8  24.4  26.7  20.2 99.0 -0.24    MM
26 05 13 11 00 142  5.8  6.3  0.69   7.4   6.3 180 1014.3  23.4  27.5  20.1 99.0 +0.13    MM
26 05 13 10 00 145  6.6  6.8  1.41   6.7   5.7 151 1010.2  23.5  26.8  19.2 99.0 +0.63    MM
26 05 13 09 00 210  1.4  1.9  0.59   7.2   6.1 236 1010.3  23.3  27.7  19.8 99.0 +0.56    MM
26 05 13 08 00 208  5.4  6.2  1.57   5.6   4.8 165 1012.5  23.7  26.4  19.7 99.0 +0.03    MM
26 05 13 07 00 179  8.3  8.5  1.77   8.3   7.1 198 1000.9  22.5  27.2  18.2 99.0 -0.26    MM
26 05 13 06 00 200  5.6  5.9  1.89   6.6   5.6 197 1014.8  23.7  26.8  19.9 99.0 -0.11    MM
26 05 13 05 00 139  6.7  6.8  1.02   7.8   6.6 143 1007.1  24.2  26.3  19.8 99.0 +0.08    MM
26 05 13 04 00 208  3.9  4.5  1.80   5.6   4.7 191 1016.7  22.4  26.9  18.6 99.0 -0.33    MM
26 05 13 03 00 175  4.1  5.1  1.48   6.4   5.4 189 1014.4  27.7  27.3  23.3 99.0 -0.69    MM
26 05 13 02 00 153  4.6  5.8  0.75   7.0   6.0 130 1014.6  23.7  26.5  20.1 99.0 +0.04    MM
26 05 13 01 00 212  6.8  7.0  1.14   7.5   6.3 179 1008.2  24.7  26.7  20.6 99.0 +0.09    MM
26 05 13 00 00 160  5.5  6.7  0.90   5.3   4.5 163 1020.0  25.7  27.5  20.6 99.0 -0.12    MM
26 05 12 23 00 165  5.1  6.0  1.09   5.8   4.9 228 1015.2  22.5  26.4  18.5 99.0 +0.29    MM
26 05 12 22 00 214  6.2  6.6  0.91   6.2   5.3 159 1017.7  22.4  27.1  18.6 99.0 -0.23    MM
26 05 12 21 00 209  6.3  6.7  1.19   7.2   6.1 148 1011.6  23.5  27.4  20.3 99.0 +0.25    MM
26 05 12 20 00 173  3.9  3.9  1.35   6.3   5.4 155 1013.0  23.4  26.3  20.1 99.0 +0.13    MM
26 05 12 19 00 186  4.4  4.6  0.76   6.2   5.3 189 1009.7  22.1  26.7  18.4 99.0 -0.72    MM
26 05 12 18 00 162  3.3  4.2  1.09   6.5   5.5 172 1018.5  19.9  26.5  16.7 99.0 -0.31    MM
26 05 12 17 00 136  4.1  4.2  1.33   9.0   7.6 129 1009.1  21.1  27.5  17.2 99.0 -0.76    MM
26 05 12 16 00 204  4.0  4.7  1.29   6.3   5.4 192 1018.3  25.2  26.8  21.8 99.0 +0.74    MM
26 05 12 15 00 213  6.0  6.8  0.78   5.6   4.7 145 1014.2  21.1  27.4  15.5 99.0 -0.40    MM
26 05 12 14 00 159  6.7  7.2  0.71   7.2   6.1 143 1016.2  21.0  27.1  16.5 99.0 +1.02    MM
26 05 12 13 00 212  3.4  3.7  0.83   6.4   5.4 126 1012.5  24.4  28.1  21.0 99.0 +0.10    MM
26 05 12 12 00 200  2.3  2.6  1.52   6.8   5.8 160 1018.4  19.8  27.6  16.0 99.0 +0.28    MM
26 05 12 11 00 180  7.0  8.0  0.80   7.8   6.7 182 1020.7  21.9  27.6  18.1 99.0 -0.22    MM
26 05 12 10 00 210  4.8  5.4  1.16   7.1   6.0 171 1019.1  22.5  27.3  18.9 99.0 -0.43    MM
26 05 12 09 00 207  8.4  9.1  1.36   6.1   5.2 202 1008.9  22.8  27.8  19.1 99.0 +0.27    MM
26 05 12 04 00 158  6.8  8.3  1.04   6.4   5.4 172 1008.2  24.6  27.2  21.1 99.0 +0.74    MM
26 05 12 03 00 179  6.0  6.3  1.84   7.2   6.1 143 1015.4  22.9  27.0  19.2 99.0 -0.40    MM
26 05 12 02 00 129  6.5  7.3  0.94   7.5   6.4 196 1010.9  21.7  26.8  18.2 99.0 -0.52    MM
26 05 12 01 00 155  6.3  6.9  0.79   7.0   5.9 147 1013.9  24.1  26.9  20.9 99.0 -0.24    MM
26 05 12 00 00 134  5.9  6.7  1.71   9.9   8.4 162 1015.8  20.4  27.9  16.5 99.0 +0.48    MM
26 05 11 23 00 197  5.2  7.2  1.70   7.7   6.5 176 1011.7  23.4  27.1  20.2 99.0 -0.55    MM
26 05 11 22 00 146  5.3  5.4  0.78   8.7   7.4 159 1014.7  22.4  27.7  18.6 99.0 -0.09    MM
26 05 11 21 00 141  7.6  8.1  1.26   7.3   6.2 215 1014.6  21.1  26.7  17.0 99.0 +0.29    MM
26 05 11 20 00 194  4.2  4.5  1.44   7.1   6.0 166 1016.9  22.5  26.8  19.2 99.0 -0.86    MM
26 05 11 19 00 197  5.3  6.5  0.49   7.2   6.1 184 1012.2  22.6  27.1  19.0 99.0 -0.12    MM
26 05 11 18 00  84  5.7  5.7  0.91   5.7   4.8 183 1016.6  24.2  26.6  20.0 99.0 +0.01    MM
26 05 11 17 00 165  6.5  7.4  0.99   8.6   7.3 170 1010.1  20.0  27.5  16.5 99.0 +0.04    MM
26 05 11 16 00 183  5.3  6.1  1.01   5.9   5.0 112 1014.5  21.3  27.6  17.6 99.0 +0.51    MM
26 05 11 15 00 171  8.9 10.2  1.04   7.7   6.5 199 1018.4  19.6  27.5  16.6 99.0 -0.81    MM
26 05 11 14 00 163  4.8  5.4  1.72   7.5   6.4 198 1011.5  19.1  27.2  16.1 99.0 +0.43    MM
26 05 11 13 00 199  5.8  6.5  1.23   7.2   6.1 219 1020.2  20.0  26.2  15.6 99.0 -0.22    MM
26 05 11 12 00 176  4.5  4.7  1.03   5.8   4.9 125 1005.4  19.9  27.6  16.0 99.0 -0.01    MM
26 05 11 11 00 213  8.1  8.8  1.48   6.6   5.6 121 1018.8  21.6  26.6  18.4 99.0 +0.17    MM
26 05 11 10 00 184  3.6  3.7  1.32   7.8   6.6 164 1010.7  22.0  27.6  18.4 99.0 +0.25    MM
26 05 11 09 00 211  7.6  9.2  1.31   8.4   7.1 203 1011.7  21.8  27.1  18.1 99.0 -0.16    MM
26 05 11 08 00 119  6.9  7.8  1.66   8.3   7.1 154 1014.4  23.6  27.5  19.9 99.0 -1.18    MM
26 05 11 07 00 173  3.4  3.4  1.59   5.6   4.7 176 1010.1  25.0  27.0  21.5 99.0 -0.52    MM
26 05 11 06 00 116  3.6  4.1  1.67   5.9   5.0 190 1016.7  21.0  25.8  17.5 99.0 +0.49    MM
26 05 11 05 00 196  5.8  7.0  1.25   7.3   6.2 157 1016.7  20.1  26.0  16.4 99.0 -0.35    MM
26 05 11 04 00 216  6.9  7.0  0.98   7.6   6.4 207 1011.1  20.1  27.6  16.7 99.0 -0.22    MM
26 05 11 03 00 214  6.6  7.5  1.31   7.0   5.9 211 1017.4  21.8  27.1  18.3 99.0 -0.69    MM
26 05 11 02 00 136  6.3  6.7  1.04   5.0   4.3 142 1017.2  21.2  26.7  17.3 99.0 +0.13    MM
26 05 11 01 00 175  5.2  5.6  1.26   7.3   6.2 154 1021.7  20.1  27.1  15.5 99.0 -0.50    MM
26 05 11 00 00 207  7.0  7.2  0.93   7.4   6.3 145 1019.3  17.0  26.8  13.2 99.0 +0.65    MM
26 05 10 23 00 174  8.0  9.7  1.38   5.4   4.6 151 1013.0  21.5  27.2  17.1 99.0 +0.39    MM
26 05 10 22 00 149  4.8  5.0  1.15   8.6   7.3 198 1009.7  19.1  27.6  16.0 99.0 +0.31    MM
26 05 10 21 00 180  8.0  8.9  1.51   6.3   5.4 185 1008.6  20.4  26.7  16.6 99.0 -0.47    MM
26 05 10 20 00 119  8.0  8.2  1.13   7.5   6.4 196 1020.3  20.1  27.1  16.1 99.0 +0.37    MM
26 05 10 19 00 180  7.3  8.2  1.51   7.5   6.4 172 1010.0  21.1  27.8  17.7 99.0 -0.34    MM
26 05 10 18 00 198  8.8 10.2  0.23   6.4   5.4 172 1014.4  20.2  26.7  16.6 99.0 -0.41    MM
26 05 10 17 00 190  6.6  8.2  1.83   7.4   6.3 183 1013.9  20.9  26.4  16.3 99.0 +0.71    MM
26 05 10 16 00 172  2.9  3.0  1.44   6.6   5.6 150 1015.6  19.2  27.7  15.2 99.0 +0.33    MM
26 05 10 15 00 158  5.9  6.9  0.36   7.2   6.1 205 1022.2  19.0  27.1  15.0 99.0 +0.60    MM
26 05 10 14 00 124  1.5  1.5  1.40   6.9   5.8 161 1020.1  22.6  26.7  19.5 99.0 -0.58    MM
26 05 10 13 00 232  2.7  3.1  0.84   6.0   5.1 201 1024.3  20.7  26.8  17.0 99.0 -0.45    MM
26 05 10 12 00 220  5.4  5.8  0.92   6.8   5.8 129 1015.1  21.6  26.1  17.6 99.0 -0.24    MM
26 05 10 11 00 170  5.3  5.4  1.31   7.0   5.9 127 1016.3  22.1  27.1  17.3 99.0 +0.12    MM
26 05 10 10 00 194  3.5  3.6  1.71   8.6   7.3 173 1017.0  20.0  26.8  15.6 99.0 +0.48    MM
26 05 10 09 00 198  4.4  5.4  1.62   5.7   4.9 197 1015.7  20.6  26.0  16.1 99.0 +0.49    MM
26 05 10 08 00 156  7.1  8.5  0.61   8.9   7.6 192 1014.5  20.4  26.6  17.1 99.0 +0.59    MM
26 05 10 07 00 167  6.5  8.1  1.92   8.0   6.8 169 1013.7  22.2  26.7  18.8 99.0 -0.16    MM
26 05 10 06 00 152  7.6  8.0  1.39   6.7   5.7 166 1014.3  19.0  27.4  15.9 99.0 +0.43    MM
26 05 10 05 00 202  7.9  8.5  1.47   6.8   5.8 169 1012.1  19.2  27.3  15.9 99.0 -0.36    MM
26 05 10 04 00 205  6.2  7.3  1.24   8.1   6.9 197 1012.9  18.2  26.8  13.9 99.0 +0.37    MM
26 05 10 03 00 111  7.2  9.6  1.97   7.8   6.7 160 1015.4  20.8  26.8  17.4 99.0 -0.06    MM
26 05 10 02 00 172  8.6 11.2  1.22   5.6   4.8 165 1012.2  23.6  26.7  20.5 99.0 -0.31    MM
26 05 10 01 00 206  4.5  4.9  1.95   7.8   6.6 176 1024.6  18.8  26.6  15.0 99.0 +0.60    MM
26 05 10 00 00 161  7.9  8.6  0.47   6.2   5.3 177 1019.8  21.7  27.2  18.0 99.0 -1.32    MM
26 05 09 23 00 187  5.6  5.8  0.93   7.9   6.7 198 1022.9  19.4  26.6  14.5 99.0 -0.16    MM
26 05 09 22 00 164  2.7  2.9  1.44   7.8   6.7 175 1017.2  20.4  27.3  16.3 99.0 +0.43    MM
26 05 09 21 00 185  4.4  5.0  0.97   6.9   5.8 152 1023.5  18.1  27.3  14.4 99.0 +0.44    MM
26 05 09 20 00 178  5.7  5.8  0.11   6.2   5.3 204 1011.7  19.7  28.3  15.7 99.0 -0.25    MM
26 05 09 19 00 172  1.5  1.7  0.63   7.5   6.4 163 1006.5  20.7  27.5  17.3 99.0 +0.47    MM
26 05 09 18 00 197  3.7  3.8  1.27   6.2   5.2 144 1016.6  22.9  27.0  19.6 99.0 -0.53    MM
26 05 09 17 00 172  5.1  5.4  0.94   7.0   5.9 155 1020.0  22.4  26.6  19.1 99.0 +0.22    MM
26 05 09 16 00 197  4.0  4.3  1.43   5.4   4.6 225 1016.2  18.8  26.9  14.8 99.0 +0.90    MM
26 05 09 15 00 177  4.6  5.9  1.61   6.8   5.8 180 1013.7  18.7  26.9  15.4 99.0 +0.55    MM
26 05 09 14 00 239  1.2  1.6  1.61   7.0   6.0 159 1007.5  21.0  26.5  17.3 99.0 -0.21    MM
26 05 09 13 00 131  6.3  6.8  0.83   7.9   6.7 215 1017.0  19.8  26.6  15.8 99.0 -0.20    MM
26 05 09 12 00 182  5.5  5.7  2.20   7.6   6.4 145 1010.2  16.5  26.5  12.9 99.0 -0.14    MM
26 05 09 11 00 159  6.7  7.2  1.35   7.0   5.9 169 1009.7  16.3  26.6  12.5 99.0 -0.41    MM
26 05 09 10 00 174  4.6  5.4  1.16   7.3   6.2 157 1018.3  19.5  27.2  16.1 99.0 +0.21    MM
26 05 09 09 00 200  1.6  1.9  1.00   7.7   6.5 112 1013.3  16.4  26.9  13.2 99.0 +0.20    MM
26 05 09 08 00 180  3.0  3.6  0.66   6.7   5.7 150 1012.6  16.8  27.5  13.0 99.0 +0.04    MM
26 05 09 07 00 175  3.6  3.6  0.84   7.1   6.0 179 1014.0  19.4  27.3  15.6 99.0 +0.99    MM
26 05 09 06 00 137  3.0  3.6  1.12   5.4   4.6 156 1018.4  19.9  27.8  16.0 99.0 +0.51    MM
26 05 09 05 00 164  4.8  5.4  1.54   5.1   4.3 135 1011.1  17.5  27.7  12.7 99.0 +0.16    MM
26 05 09 04 00 190  9.4 10.0  1.42   7.4   6.3 179 1020.4  19.8  27.0  16.4 99.0 +0.13    MM
26 05 09 03 00 130  6.4  6.5  1.33   5.8   5.0 181 1015.7  18.6  27.2  14.8 99.0 -0.73    MM
26 05 09 02 00 193  1.1  1.2  2.03   7.4   6.3 191 1021.5  20.2  28.1  16.3 99.0 -0.17    MM
26 05 09 01 00 194  2.3  2.3  1.23   8.3   7.1 196 1018.1  19.6  27.0  16.3 99.0 +0.38    MM
26 05 09 00 00 210  4.1  4.3  1.17   7.3   6.2 198 1014.0  17.1  26.5  13.5 99.0 +0.30    MM
26 05 08 23 00 175  4.3  4.8  1.26   7.7   6.5 224 1022.5  19.0  27.2  14.9 99.0 +0.64    MM
26 05 08 22 00 169  3.0  3.4  1.29   7.6   6.5 183 1012.2  17.6  27.5  14.5 99.0 -0.39    MM
26 05 08 21 00 171  6.3  6.8  1.89   7.8   6.6 132 1015.9  20.7  28.6  17.2 99.0 +0.01    MM
26 05 08 20 00 139  6.6  7.1  1.31   5.9   5.0 189 1022.3  20.3  27.2  17.3 99.0 +0.45    MM
26 05 08 19 00 175  0.4  0.6  1.75   8.3   7.1 166 1011.8  17.8  26.4  14.5 99.0 +0.87    MM
26 05 08 18 00 161  3.9  4.7  1.28   6.1   5.1 186 1013.8  20.7  27.3  17.2 99.0 -0.70    MM
26 05 08 17 00 180  6.1  6.4  1.34   7.1   6.1 140 1005.4  16.5  27.5  12.7 99.0 +0.57    MM
26 05 08 16 00 189  6.0  6.0  0.52   7.2   6.1 153 1012.6  16.6  27.0  12.7 99.0 +0.40    MM
26 05 08 15 00 150  6.0  6.1  0.40   7.9   6.7 153 1017.3  16.9  27.4  12.6 99.0 +0.13    MM
26 05 08 14 00 196  4.2  4.4  0.75   8.1   6.8 199 1013.1  18.1  26.7  13.7 99.0 -0.26    MM
26 05 08 13 00 144  1.6  1.7  0.80   7.0   5.9 103 1015.4  16.9  26.7  13.0 99.0 -0.06    MM
26 05 08 12 00 188  5.6  6.0  0.88   7.0   5.9 164 1017.8  17.0  27.4  13.5 99.0 -0.29    MM
26 05 08 11 00 201  4.7  5.2  0.88   5.9   5.0 177 1014.2  17.4  27.4  13.5 99.0 +0.05    MM
26 05 08 10 00 121  6.5  8.4  0.84   6.8   5.8 208 1005.1  15.5  26.6  11.8 99.0 -0.82    MM
26 05 08 09 00 155  7.9  9.0  0.96   8.0   6.8 172 1011.4  16.7  26.7  12.6 99.0 +0.23    MM
26 05 08 08 00 210  2.6  2.9  0.78   6.9   5.9 177 1019.1  17.7  27.1  13.0 99.0 +0.81    MM
26 05 08 07 00 211  7.0  7.5  1.86   7.7   6.6 153 1015.4  18.3  26.3  14.7 99.0 +0.86    MM
