#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT    hPa  degC  degC  degC  nmi hPa     ft
26 05 12 12 00 168  4.1  5.1  1.37   5.6   4.7 176 1017.2  22.2  26.4  18.5 99.0 -0.22    MM
26 05 12 11 00 180  4.5  5.0  0.82   5.3   4.5 151 1020.4  21.8  28.2  18.3 99.0 -0.58    MM
26 05 12 10 00 154  6.0  7.0  2.15   6.0   5.1 187 1020.8  22.4  26.5  19.2 99.0 +0.18    MM
26 05 12 09 00 206  5.6  6.8  1.22   6.3   5.4 115 1012.2  20.4  27.3  15.5 99.0 +0.93    MM
26 05 12 04 00 162  4.6  5.0  1.62   6.6   5.6 166 1023.8  22.1  26.8  19.0 99.0 +0.29    MM
26 05 12 03 00 149  5.0  5.9  1.09   8.9   7.5 188 1014.6  20.9  26.8  16.8 99.0 -0.28    MM
26 05 12 02 00 223  2.8  2.9  1.90   5.0   4.2 199 1007.6  22.1  26.9  18.2 99.0 -1.58    MM
26 05 12 01 00 122  4.4  4.4  0.84   6.8   5.8 140 1013.4  20.9  27.1  17.3 99.0 +0.72    MM
26 05 12 00 00 160  4.9  4.9  1.08   6.9   5.9 130 1016.5  20.7  26.5  16.1 99.0 +0.58    MM
26 05 11 23 00 175  7.8  8.1  0.52   5.9   5.0 188 1011.9  20.4  26.9  17.2 99.0 -0.51    MM
26 05 11 22 00 170  4.5  6.3  1.40   6.2   5.3 202 1010.4  19.6  27.6  15.0 99.0 -0.32    MM
26 05 11 21 00 197  4.8  6.0  1.28   6.8   5.8 202 1017.4  26.5  26.2  23.5 99.0 -0.53    MM
26 05 11 20 00 214  7.1  8.0  0.89   6.3   5.3 119 1021.8  22.7  26.9  18.7 99.0 +0.38    MM
26 05 11 19 00 209  2.3  2.5  1.28   7.4   6.3 193 1011.0  22.0  28.1  18.3 99.0 +0.44    MM
26 05 11 18 00 179  7.0  8.9  1.24   8.2   7.0 148 1017.4  23.2  26.6  19.1 99.0 -0.34    MM
26 05 11 17 00 155  5.5  7.1  1.32   7.9   6.7 151 1015.3  20.0  26.7  16.1 99.0 -0.02    MM
26 05 11 16 00 223  5.1  5.2  1.71   6.4   5.4 132 1020.2  22.3  25.9  19.3 99.0 -0.20    MM
26 05 11 15 00 232  4.0  4.4  0.84   5.9   5.1 152 1009.3  20.1  26.2  15.6 99.0 -0.78    MM
26 05 11 14 00 164  4.1  4.9  1.39   7.0   5.9 159 1013.1  24.0  27.1  20.5 99.0 -1.29    MM
26 05 11 13 00 160  1.2  1.2  1.35   6.3   5.4 182 1010.9  22.4  26.2  19.2 99.0 +0.21    MM
26 05 11 12 00 196  5.2  6.8  1.03   6.5   5.6 101 1022.1  20.9  26.4  16.6 99.0 +0.62    MM
26 05 11 11 00 183  2.6  2.8  0.95   5.8   5.0 196 1006.5  22.3  27.2  17.2 99.0 +0.16    MM
26 05 11 10 00 118  3.8  3.9  1.34   8.0   6.8 121 1013.7  22.9  27.8  18.0 99.0 -0.20    MM
26 05 11 09 00 212  8.9 10.5  1.49   7.8   6.7 150 1009.2  22.8  26.8  19.8 99.0 -0.29    MM
26 05 11 08 00 168  6.0  6.9  1.23   7.2   6.2 168 1012.0  22.5  27.9  18.9 99.0 +0.62    MM
26 05 11 07 00 206  0.2  0.2  0.95   7.8   6.6 174 1016.9  22.2  26.6  18.5 99.0 -0.61    MM
26 05 11 06 00 174  5.3  5.4  0.91   7.9   6.7 192 1021.2  22.3  27.1  18.6 99.0 +0.30    MM
26 05 11 05 00 160  8.1 10.2  1.99   7.0   6.0 178 1016.7  21.1  27.3  18.0 99.0 -0.10    MM
26 05 11 04 00 232  5.8  5.9  1.55   7.2   6.1 177 1014.7  19.3  27.0  15.1 99.0 +0.11    MM
26 05 11 03 00 144  7.3  8.2  1.31   6.9   5.9 180 1007.1  19.4  26.9  16.1 99.0 -0.04    MM
26 05 11 02 00 149  5.8  6.2  0.77   7.3   6.2 164 1019.8  22.0  27.4  18.7 99.0 -0.42    MM
26 05 11 01 00 151  2.6  3.7  0.77   6.8   5.8 160 1013.9  20.1  26.1  16.1 99.0 -0.70    MM
26 05 11 00 00 176  4.1  4.6  1.29   6.4   5.5 193 1013.5  21.2  26.3  17.6 99.0 -0.20    MM
26 05 10 23 00 192  6.2  6.3  1.29   6.6   5.6 203 1018.7  21.6  26.4  17.5 99.0 -0.33    MM
26 05 10 22 00 172  6.4  7.3  1.67   7.0   6.0 119 1013.1  16.9  26.6  13.4 99.0 -0.31    MM
26 05 10 21 00 170  4.7  5.1  1.80   8.2   7.0 141 1020.0  18.3  26.6  13.8 99.0 -1.12    MM
26 05 10 20 00 197  3.0  3.1  1.13   8.7   7.4 149 1014.7  21.6  26.9  17.8 99.0 -0.03    MM
26 05 10 19 00 182  7.3  8.3  1.02   7.3   6.2 165 1014.3  20.6  26.7  16.8 99.0 +0.22    MM
26 05 10 18 00 147  7.8  8.1  0.69   7.3   6.2 174 1018.0  22.3  26.8  18.6 99.0 -0.30    MM
26 05 10 17 00 150  4.0  4.2  1.21   6.5   5.5 151 1016.4  19.8  26.5  16.6 99.0 -0.13    MM
26 05 10 16 00 147  7.2  8.1  1.22   7.1   6.1 183 1014.9  21.8  27.8  18.8 99.0 +0.22    MM
26 05 10 15 00 206  4.8  5.6  1.56   5.4   4.6 214 1018.5  20.7  27.0  16.0 99.0 -0.47    MM
26 05 10 14 00 145  4.3  4.5  0.80   7.2   6.1 173 1011.7  22.8  26.3  18.5 99.0 +0.19    MM
26 05 10 13 00 173  6.3  6.9  0.79   6.4   5.4 152 1017.1  19.6  27.4  16.0 99.0 +0.52    MM
26 05 10 12 00 207  7.1  7.9  0.99   6.7   5.7 124 1016.2  19.3  27.2  15.8 99.0 -0.68    MM
26 05 10 11 00 149  4.8  5.2  1.27   5.8   5.0 171 1008.2  17.0  27.4  12.7 99.0 -0.28    MM
26 05 10 10 00 137  2.7  2.8  1.04   8.0   6.8 181 1014.0  21.3  27.6  17.9 99.0 -0.20    MM
26 05 10 09 00 210  9.0  9.9  1.91   7.9   6.7 191 1010.6  18.5  27.0  13.8 99.0 -0.30    MM
26 05 10 08 00 206  4.2  4.5  0.66   6.5   5.5 195 1015.8  20.5  27.9  16.2 99.0 -0.44    MM
26 05 10 07 00 219  4.3  4.3  1.21   8.1   6.9 141 1016.8  20.8  27.4  17.6 99.0 +0.50    MM
26 05 10 06 00 158  7.8  8.2  0.64   7.4   6.3 174 1013.6  18.9  26.9  14.5 99.0 +0.85    MM
26 05 10 05 00 146  4.2  4.9  1.43   7.7   6.6 207 1013.8  18.4  27.4  14.6 99.0 -0.16    MM
26 05 10 04 00 142  8.0  8.7  0.65   7.8   6.6 133 1013.1  18.2  26.7  14.4 99.0 -0.31    MM
26 05 10 03 00 201  6.1  6.7  1.64   6.6   5.6 171 1017.2  22.4  27.4  18.0 99.0 +0.51    MM
26 05 10 02 00 211  1.9  2.2  1.29   7.1   6.0 156 1013.3  20.4  27.4  15.9 99.0 +0.11    MM
26 05 10 01 00 163  3.6  3.8  1.07   6.3   5.4 150 1016.1  19.7  26.5  15.9 99.0 -0.09    MM
26 05 10 00 00 192  3.4  3.6  0.87   9.7   8.3 146 1011.8  20.0  26.5  16.2 99.0 +0.90    MM
26 05 09 23 00 168  5.8  6.3  1.20   8.4   7.2 192 1011.4  22.0  27.6  18.5 99.0 -0.33    MM
26 05 09 22 00 181  3.9  4.2  1.07   4.8   4.1 193 1015.8  21.2  26.9  18.0 99.0 +0.56    MM
26 05 09 21 00 191  6.1  9.0  1.13   7.2   6.1 213 1011.8  18.0  26.3  14.5 99.0 +0.31    MM
26 05 09 20 00 202  2.8  3.2  1.68   6.9   5.9 170 1017.7  20.1  27.3  16.0 99.0 -0.09    MM
26 05 09 19 00 143  6.8  7.3  1.16   7.3   6.2 131 1018.4  18.7  27.1  14.6 99.0 -0.38    MM
26 05 09 18 00 215  5.7  5.8  1.42   5.8   4.9 184 1015.2  21.0  26.9  17.6 99.0 +0.18    MM
26 05 09 17 00 178  3.2  3.2  1.71   6.9   5.9 148 1017.9  16.6  25.9  13.6 99.0 +0.09    MM
26 05 09 16 00 186  3.7  3.8  0.64   7.2   6.1 129 1014.4  19.7  26.1  16.2 99.0 +0.39    MM
26 05 09 15 00 226  2.5  2.6  0.71   5.7   4.8 209 1017.7  18.0  27.1  14.4 99.0 +0.09    MM
26 05 09 14 00 247  6.7  9.7  1.08   6.3   5.3 164 1015.1  18.2  26.5  13.9 99.0 +0.30    MM
26 05 09 13 00 159  6.9  7.6  1.71   5.9   5.1 189 1012.6  20.9  26.9  15.6 99.0 +0.02    MM
26 05 09 12 00 126  5.1  5.1  1.04   5.5   4.7 142 1011.6  18.7  27.6  15.0 99.0 -0.24    MM
26 05 09 11 00 218  2.8  3.0  1.13   7.2   6.2 185 1012.3  20.3  27.0  14.8 99.0 -0.15    MM
26 05 09 10 00 218  6.8  8.0  1.74   5.9   5.0 114 1018.4  20.6  27.0  17.3 99.0 +0.79    MM
26 05 09 09 00 201  4.2  4.6  0.70   6.4   5.5 143 1006.2  17.2  27.6  13.1 99.0 -0.28    MM
26 05 09 08 00 145  7.2  7.2  1.40   6.9   5.9 140 1011.1  20.2  27.0  16.4 99.0 -1.58    MM
26 05 09 07 00 213  4.5  6.0  1.00   7.0   6.0 186 1011.5  20.2  26.7  15.9 99.0 +0.40    MM
26 05 09 06 00 194  4.1  4.2  1.32   5.0   4.2 156 1018.8  16.9  27.6  13.3 99.0 +0.16    MM
26 05 09 05 00 145  6.5  6.9  1.65   8.4   7.1 201 1015.8  16.9  27.7  12.6 99.0 -0.22    MM
26 05 09 04 00 202  6.4  7.9  1.20   5.3   4.5 163 1015.7  18.2  27.7  14.9 99.0 -0.72    MM
26 05 09 03 00 194  3.2  4.0  1.31   5.6   4.8 196 1024.5  15.6  27.5  12.2 99.0 +0.09    MM
26 05 09 02 00 190  6.5  7.2  1.76   5.7   4.8 218 1021.1  16.8  27.0  12.4 99.0 -0.25    MM
26 05 09 01 00 175  4.7  5.5  0.96   7.0   5.9 183 1014.2  17.3  26.3  12.7 99.0 -0.59    MM
26 05 09 00 00 128  4.0  4.2  1.22   6.2   5.2 144 1011.0  16.4  26.4  12.7 99.0 -0.70    MM
26 05 08 23 00 180  4.3  5.8  0.48   7.2   6.1 161 1011.9  18.9  27.1  14.9 99.0 +0.21    MM
26 05 08 22 00 191  8.1  8.9  1.79   6.8   5.8 120 1017.1  18.3  26.6  14.3 99.0 -0.24    MM
26 05 08 21 00 210  5.3  5.9  1.47   7.5   6.4 144 1018.7  18.4  28.0  14.9 99.0 +0.38    MM
26 05 08 20 00 157  4.7  4.8  0.73   5.8   5.0 167 1014.7  18.6  27.6  15.2 99.0 +0.34    MM
26 05 08 19 00 175  5.1  5.3  0.37   7.1   6.0 154 1011.3  15.4  26.8  10.5 99.0 +0.44    MM
26 05 08 18 00 172  2.1  2.4  1.50   6.4   5.4 162 1013.5  18.0  26.2  15.0 99.0 -0.28    MM
26 05 08 17 00 268  5.1  5.4  1.60   6.8   5.8 176 1011.5  20.5  26.7  17.1 99.0 +0.57    MM
26 05 08 16 00 170  5.5  6.0  1.47   5.9   5.0 174 1011.2  17.0  26.7  12.8 99.0 +0.80    MM
26 05 08 15 00 258  5.4  6.1  0.81   8.6   7.3 131 1013.7  17.2  27.9  13.2 99.0 +0.55    MM
26 05 08 14 00 219  5.2  5.5  0.58   6.9   5.9 164 1004.7  18.6  27.2  13.9 99.0 -0.71    MM
26 05 08 13 00 157  4.4  4.6  0.82   6.0   5.1 177 1013.1  17.8  26.9  14.3 99.0 -0.08    MM
26 05 08 12 00 205  5.7  6.5  1.70   5.5   4.7 193 1022.1  16.4  27.0  13.1 99.0 +0.22    MM
26 05 08 11 00 195  4.2  5.0  0.86   6.9   5.8 195 1022.8  17.1  27.4  13.9 99.0 -0.79    MM
26 05 08 10 00 151  3.1  3.3  1.03   7.0   6.0 201 1016.7  21.8  26.9  18.0 99.0 +0.21    MM
26 05 08 09 00 225  4.7  5.3  1.85   6.3   5.3 168 1017.0  17.1  26.6  12.3 99.0 -0.11    MM
26 05 08 08 00 232  4.5  4.6  1.52   6.8   5.8 147 1012.1  18.1  26.7  15.0 99.0 -1.13    MM
26 05 08 07 00 163  5.1  5.5  0.80   6.1   5.2 171 1020.9  15.6  26.9  11.6 99.0 +0.17    MM
