Date,Time,WindDir,WindSpd,WindGust,AirTemp,BaroPres,RelHum,WaterTemp,WaveHt,DomWavePeriod
2026-05-13,12:00:00,207.6, 12.0, 14.4, 25.3,1011.5, 81.8, 26.5,1.33, 7.0
2026-05-13,11:00:00,166.3, 10.5, 12.7, 27.7,1008.6, 77.7, 26.9,0.90, 7.0
2026-05-13,10:00:00,178.2, 13.3, 15.9, 26.4,1020.7, 69.0, 27.2,0.50, 7.5
2026-05-13,09:00:00,198.9,  4.5,  5.4, 25.3,1015.7, 60.4, 27.0,1.53, 7.6
2026-05-13,08:00:00,179.8, 11.9, 14.3, 27.7,1017.9, 68.8, 26.7,0.93, 7.0
2026-05-13,07:00:00,115.2,  7.4,  8.8, 25.7,1016.0, 76.9, 27.5,0.68, 6.5
2026-05-13,06:00:00,187.4,  6.2,  7.5, 25.8,1013.1, 75.4, 26.6,0.79, 8.6
2026-05-13,05:00:00,174.5, 15.2, 18.3, 23.7,1014.1, 80.7, 27.1,1.60, 8.2
2026-05-13,04:00:00,166.0, 11.7, 14.0, 25.3,1013.3, 84.0, 26.8,0.53, 7.5
2026-05-13,03:00:00,166.0, 11.6, 13.9, 23.1,1019.7, 82.0, 26.4,1.26, 5.9
2026-05-13,02:00:00,117.0,  6.6,  7.9, 27.2,1018.5, 71.9, 27.0,1.90, 6.2
2026-05-13,01:00:00,183.8,  7.3,  8.7, 26.8,1013.8, 60.7, 26.6,1.47, 7.7
2026-05-13,00:00:00,143.3,  5.3,  6.4, 24.5,1014.9, 97.1, 26.9,1.22, 6.2
2026-05-12,23:00:00,161.9, 22.3, 26.8, 25.2,1015.6, 61.8, 27.4,1.20, 6.2
2026-05-12,22:00:00,123.2,  9.6, 11.5, 25.2,1005.9, 70.5, 26.8,0.96, 6.4
2026-05-12,21:00:00,217.0,  8.6, 10.4, 28.2,1014.3, 86.4, 26.8,1.08, 6.2
2026-05-12,20:00:00,198.5, 14.8, 17.7, 24.1,1015.6, 69.8, 26.5,1.19, 5.1
2026-05-12,19:00:00,236.7, 10.3, 12.3, 26.7,1010.5, 80.5, 27.0,1.07, 6.4
2026-05-12,18:00:00,162.2, 12.0, 14.4, 25.7,1018.0, 83.2, 26.4,1.01, 8.6
2026-05-12,17:00:00,191.1, 19.2, 23.0, 28.4,1019.8, 73.7, 26.0,1.18, 5.7
2026-05-12,16:00:00,232.4, 12.5, 15.1, 26.4,1011.9, 63.3, 26.0,0.44, 8.6
2026-05-12,15:00:00,176.1, 15.4, 18.5, 25.8,1014.8, 74.9, 27.7,1.36, 5.0
2026-05-12,14:00:00,122.1, 16.2, 19.5, 25.4,1009.5, 75.4, 26.4,0.65, 6.0
2026-05-12,13:00:00,174.4, 15.3, 18.3, 27.0,1020.4, 77.4, 27.3,0.81, 6.9
2026-05-12,12:00:00,196.6,  7.4,  8.9, 27.4,1018.9, 74.7, 27.4,1.14, 6.4
2026-05-12,11:00:00,201.8, 14.0, 16.8, 29.3,1017.9, 64.0, 26.5,0.68, 7.1
2026-05-12,10:00:00,220.9,  7.6,  9.1, 25.6,1017.6, 76.5, 27.2,0.79, 7.0
2026-05-12,09:00:00,177.0, 10.3, 12.3, 26.2,1017.7, 70.3, 27.4,1.33, 8.6
2026-05-12,08:00:00,160.7,  0.0,  0.0, 27.9,1004.9, 89.8, 27.0,0.38, 7.7
2026-05-12,07:00:00,152.6,  7.8,  9.3, 28.2,1013.5, 65.4, 28.0,1.57, 6.7
2026-05-12,06:00:00,173.9,  8.8, 10.6, 28.4,1011.1, 62.3, 27.6,1.09, 7.1
2026-05-12,05:00:00,168.3, 14.1, 16.9, 22.4,1014.2, 87.4, 28.1,1.15, 7.0
2026-05-12,04:00:00,197.9, 17.5, 21.0, 26.4,1007.1, 70.8, 27.1,0.59, 6.6
2026-05-12,03:00:00,172.3, 18.8, 22.6, 23.8,1007.5, 74.9, 26.7,0.85, 7.2
2026-05-12,02:00:00,185.2, 13.1, 15.8, 26.5,1010.1, 68.6, 26.8,1.18, 8.0
2026-05-12,01:00:00,156.7,  9.1, 10.9, 28.2,1015.6, 61.0, 26.8,0.71, 5.9
2026-05-12,00:00:00,156.1,  6.7,  8.0, 29.1,1019.0, 88.8, 27.5,1.15, 7.4
2026-05-11,23:00:00,148.0, 12.4, 14.9, 24.3,1018.6, 62.8, 27.1,1.46, 7.8
2026-05-11,22:00:00,144.0, 13.5, 16.2, 26.8,1014.4, 65.2, 26.0,1.38, 5.4
2026-05-11,21:00:00,232.4,  5.2,  6.2, 24.2,1013.3, 75.7, 27.0,0.79, 6.3
2026-05-11,20:00:00,171.6, 15.2, 18.3, 26.0,1006.3, 69.3, 27.4,0.91, 6.0
2026-05-11,19:00:00,198.0, 13.5, 16.2, 26.5,1012.7, 82.5, 27.8,1.67, 5.4
2026-05-11,18:00:00,140.2, 23.7, 28.5, 24.2,1016.2, 74.1, 27.2,1.72, 7.9
2026-05-11,17:00:00,182.2,  8.4, 10.1, 27.5,1019.2, 86.2, 27.4,1.48, 6.5
2026-05-11,16:00:00,192.7,  6.7,  8.1, 25.3,1020.0, 66.3, 26.8,1.03, 8.0
2026-05-11,15:00:00,180.7, 15.0, 18.0, 26.4,1021.5, 57.4, 27.4,1.63, 8.2
2026-05-11,14:00:00,156.8, 15.2, 18.3, 25.2,1017.6, 69.1, 26.9,0.60, 5.8
2026-05-11,13:00:00,167.2, 13.4, 16.1, 24.9,1014.2, 78.0, 26.9,1.27, 7.1
2026-05-11,12:00:00,179.7, 11.0, 13.2, 24.7,1013.0, 56.6, 26.4,0.73, 6.6
2026-05-11,11:00:00,179.7, 16.5, 19.8, 26.2,1011.2, 77.9, 27.8,1.17, 6.2
2026-05-11,10:00:00,187.9,  7.3,  8.8, 24.6,1017.9, 64.9, 26.2,1.39, 5.7
2026-05-11,09:00:00,211.1, 14.4, 17.3, 25.1,1015.8, 88.9, 26.8,1.84, 6.7
2026-05-11,08:00:00,182.9,  8.2,  9.9, 26.3,1019.5, 83.9, 27.2,1.46, 7.2
2026-05-11,07:00:00,164.4, 15.2, 18.2, 24.4,1015.8,101.9, 27.4,0.92, 8.4
2026-05-11,06:00:00,172.4,  4.5,  5.5, 26.6,1012.3, 69.1, 26.9,0.98, 6.2
2026-05-11,05:00:00,133.2,  7.7,  9.2, 24.6,1014.6, 85.1, 26.7,0.72, 8.6
2026-05-11,04:00:00,182.8,  7.4,  8.9, 24.6,1012.1, 78.9, 27.2,1.71, 7.7
2026-05-11,03:00:00,198.7, 12.6, 15.1, 24.5,1019.8, 80.3, 27.2,1.44, 5.5
2026-05-11,02:00:00,184.0,  7.5,  9.0, 26.2,1017.3, 76.1, 26.9,1.70, 7.3
2026-05-11,01:00:00,215.9, 15.0, 18.0, 27.9,1016.3, 82.3, 27.1,1.63, 9.3
2026-05-11,00:00:00,157.4,  7.8,  9.4, 28.4,1015.7, 70.7, 26.7,1.57, 7.6
2026-05-10,23:00:00,177.3, 20.0, 24.0, 27.4,1021.6, 60.7, 26.5,1.31, 6.4
2026-05-10,22:00:00,160.2, 10.3, 12.4, 25.8,1011.4, 62.2, 27.2,1.25, 8.0
2026-05-10,21:00:00,192.7, 14.1, 16.9, 27.1,1011.3, 70.0, 27.1,1.57, 7.6
2026-05-10,20:00:00,174.4, 11.2, 13.4, 26.4,1010.4, 83.5, 27.4,1.57, 8.0
2026-05-10,19:00:00,123.5, 16.0, 19.2, 26.3,1009.3, 65.5, 26.9,1.67, 7.3
2026-05-10,18:00:00,233.6, 12.9, 15.5, 26.4,1011.2, 61.1, 26.6,1.24, 5.5
2026-05-10,17:00:00,189.3, 13.8, 16.5, 24.9,1015.4, 80.2, 26.7,1.49, 6.3
2026-05-10,16:00:00,223.7, 14.4, 17.2, 26.5,1009.9, 75.9, 27.0,0.86, 5.7
2026-05-10,15:00:00,206.1, 10.5, 12.6, 27.2,1019.8, 74.6, 28.0,0.86, 7.4
2026-05-10,14:00:00,224.7, 11.0, 13.2, 26.0,1010.9, 77.4, 26.4,0.85, 7.9
2026-05-10,13:00:00,205.7, 11.9, 14.3, 24.7,1020.2, 73.2, 26.0,0.84, 5.6
2026-05-10,12:00:00,195.3,  6.1,  7.4, 26.5,1017.4, 67.6, 27.3,0.61, 6.5
2026-05-10,11:00:00,162.9, 11.4, 13.6, 26.2,1014.9, 79.7, 27.2,1.58, 6.5
2026-05-10,10:00:00,188.3, 14.6, 17.5, 26.4,1015.5, 53.4, 28.0,0.83, 6.2
2026-05-10,09:00:00,140.7, 10.7, 12.9, 28.6,1012.5, 68.2, 26.6,1.37, 8.4
2026-05-10,08:00:00,156.8, 13.1, 15.7, 28.0,1016.1, 67.8, 27.0,1.25, 7.2
2026-05-10,07:00:00,180.7, 12.0, 14.4, 28.8,1026.3, 76.7, 26.5,0.78, 7.8
2026-05-10,06:00:00,174.5,  5.5,  6.6, 26.6,1015.7, 71.0, 27.9,1.52, 6.5
2026-05-10,05:00:00,174.5, 15.1, 18.2, 25.2,1013.4, 86.8, 26.7,1.17, 8.0
2026-05-10,04:00:00,187.2, 13.2, 15.9, 25.0,1024.3, 83.2, 25.8,1.72, 5.7
2026-05-10,03:00:00,159.1,  6.5,  7.8, 27.9,1013.9, 77.1, 26.2,1.63, 6.7
2026-05-10,02:00:00,189.7,  6.8,  8.2, 26.7,1015.3, 87.9, 27.3,1.80, 6.9
2026-05-10,01:00:00,205.9, 12.4, 14.9, 27.7,1013.7, 93.9, 27.1,1.20, 7.4
2026-05-10,00:00:00,130.6,  8.6, 10.3, 29.1,1019.3, 65.8, 27.1,1.45, 6.5
2026-05-09,23:00:00,165.2, 17.7, 21.3, 27.5,1012.5, 80.1, 27.8,1.39, 6.5
2026-05-09,22:00:00,201.7, 12.9, 15.5, 25.4,1013.4, 92.6, 27.7,0.93, 5.7
2026-05-09,21:00:00,146.6,  6.9,  8.2, 25.6,1014.7, 61.2, 27.1,0.04, 7.1
2026-05-09,20:00:00,143.5, 18.4, 22.1, 21.7,1015.7, 82.0, 26.8,1.29, 8.3
2026-05-09,19:00:00,197.9, 18.8, 22.5, 24.1,1015.7, 65.0, 27.0,1.10, 6.4
2026-05-09,18:00:00,173.2, 18.1, 21.7, 23.8,1016.5, 81.9, 27.0,0.89, 6.6
2026-05-09,17:00:00,164.9,  9.6, 11.6, 24.9,1014.1, 61.4, 27.1,0.89, 7.9
2026-05-09,16:00:00,225.2, 13.5, 16.2, 24.0,1020.6, 73.8, 27.3,1.56, 8.0
2026-05-09,15:00:00,193.6, 12.2, 14.7, 25.9,1017.9, 66.1, 27.2,1.82, 9.0
2026-05-09,14:00:00,223.8, 16.3, 19.5, 26.8,1019.2, 94.5, 27.0,0.56, 6.8
2026-05-09,13:00:00,155.3, 12.7, 15.3, 24.2,1013.0, 62.7, 27.5,1.88, 7.7
2026-05-09,12:00:00,186.2,  6.4,  7.7, 24.7,1016.1, 66.8, 27.5,1.48, 6.7
2026-05-09,11:00:00,181.9, 14.0, 16.8, 28.6,1007.4, 79.1, 27.6,1.05, 6.5
2026-05-09,10:00:00,152.4, 12.7, 15.3, 25.2,1010.9, 73.2, 26.0,0.96, 7.6
2026-05-09,09:00:00,167.6, 10.5, 12.6, 27.3,1021.3, 67.6, 27.6,0.50, 6.2
2026-05-09,08:00:00,187.7, 14.1, 17.0, 26.2,1018.5, 73.0, 27.4,1.00, 6.4
2026-05-09,07:00:00,200.3,  4.5,  5.4, 24.7,1019.0, 85.1, 26.9,1.23, 7.2
2026-05-09,06:00:00,136.2, 11.2, 13.4, 28.2,1012.7, 80.3, 27.1,1.32, 7.2
2026-05-09,05:00:00,153.9, 15.6, 18.8, 27.5,1015.7, 75.4, 26.8,1.18, 7.6
2026-05-09,04:00:00,128.4,  7.3,  8.8, 25.6,1017.8, 72.0, 27.7,1.72, 8.4
2026-05-09,03:00:00,187.9, 17.8, 21.4, 26.9,1012.3, 48.1, 27.2,0.89, 6.8
2026-05-09,02:00:00,206.9,  2.1,  2.5, 25.7,1012.6, 63.5, 26.6,0.86, 6.0
2026-05-09,01:00:00,173.7,  6.3,  7.6, 25.5,1018.4, 57.5, 26.8,0.84, 7.3
2026-05-09,00:00:00,205.5, 11.8, 14.1, 28.8,1015.0, 80.3, 26.6,1.15, 7.0
2026-05-08,23:00:00,145.8, 20.6, 24.7, 25.8,1015.1, 67.5, 27.2,1.21, 7.1
2026-05-08,22:00:00,202.0,  9.1, 10.9, 24.6,1013.5, 83.5, 27.7,0.90, 7.6
2026-05-08,21:00:00,211.3, 11.7, 14.0, 26.2,1021.8, 90.3, 26.5,1.07, 6.2
2026-05-08,20:00:00,125.5, 11.7, 14.0, 23.5,1019.1, 78.4, 27.4,0.84, 5.9
2026-05-08,19:00:00,221.5, 11.2, 13.5, 26.1,1015.7, 86.8, 27.2,1.27, 7.4
2026-05-08,18:00:00,227.2, 11.2, 13.5, 25.8,1012.1, 81.8, 27.5,1.01, 7.7
2026-05-08,17:00:00, 79.4, 16.3, 19.6, 23.4,1016.6, 65.7, 27.8,1.33, 6.9
2026-05-08,16:00:00,168.6, 12.2, 14.7, 25.0,1015.5, 85.0, 26.2,1.30, 6.6
2026-05-08,15:00:00,157.4, 12.3, 14.8, 26.2,1010.7, 74.8, 26.9,0.53, 7.4
2026-05-08,14:00:00,168.7,  0.8,  0.9, 23.8,1016.0, 71.6, 27.4,1.12, 6.8
2026-05-08,13:00:00,166.1, 16.5, 19.8, 26.0,1020.7, 81.6, 28.0,1.38, 6.5
2026-05-08,12:00:00,207.7, 16.3, 19.6, 25.6,1017.2, 74.2, 27.2,1.21, 6.9
2026-05-08,11:00:00,193.7, 18.8, 22.5, 24.0,1015.8, 72.0, 27.2,1.30, 7.4
2026-05-08,10:00:00,133.0,  5.2,  6.2, 28.1,1014.9, 88.4, 27.3,0.99, 5.3
2026-05-08,09:00:00,195.5, 14.0, 16.9, 28.6,1014.2, 75.8, 26.1,0.96, 7.2
2026-05-08,08:00:00,153.8, 10.6, 12.7, 28.1,1021.4, 64.3, 27.0,1.03, 8.5
2026-05-08,07:00:00,197.9, 12.9, 15.5, 24.6,1020.3, 72.0, 27.9,1.64, 6.3
